Name;price;URL;type
20th Century Boys Nueva Edicion Planeta 01;11.0;https://www.todoconsolas.com/manga/53005-manga_20th_century_boys_nueva_edicion_planeta_01_po115205-9788491465836.html;Manga
20th Century Boys Planeta 02;4.5;https://www.todoconsolas.com/manga/43910-manga_20th_century_boys_planeta_02_po36376-8431474054251.html;Manga
3x3 Eyes Ivrea 01;9.95;https://www.todoconsolas.com/manga/75527-manga_3x3_eyes_ivrea_01_po124565-9788417777906.html;Manga
51 Maneras De Proteger A Tu Novia Ponent Mon 01;5.0;https://www.todoconsolas.com/manga/156280-manga_51_maneras_de_proteger_a_tu_novia_ponent_mon_01_po195703-9781910856994.html;Manga
666 Satan Glenat 02;4.0;https://www.todoconsolas.com/manga/2800-manga_666_satan_glenat_02_po17860-9788483579329.html;Manga
666 Satan Glenat 04;4.5;https://www.todoconsolas.com/manga/3640-manga_666_satan_glenat_04_po17862-9788483579954.html;Manga
7000 Millones de Agujas Milky Way 01;4.0;https://www.todoconsolas.com/manga/11224-manga_7000_millones_de_agujas_milky_way_01_po88149-9788494580666.html;Manga
A.I Revolution Mangaline 02;2.0;https://www.todoconsolas.com/manga/5944-manga_a_i_revolution_mangaline_02_po36924.html;Manga
A.I Revolution Mangaline 04;2.0;https://www.todoconsolas.com/manga/5945-manga_a_i_revolution_mangaline_04_po36926.html;Manga
A.I Revolution Mangaline 06;2.0;https://www.todoconsolas.com/manga/5946-manga_a_i_revolution_mangaline_06_po36928.html;Manga
A.I Revolution Mangaline 08;2.5;https://www.todoconsolas.com/manga/5947-manga_a_i_revolution_mangaline_08_po36930.html;Manga
Accel World Planeta 01;4.0;https://www.todoconsolas.com/manga/154548-manga_accel_world_planeta_01_po194223-9788491733652.html;Manga
Accel World Planeta 08;5.0;https://www.todoconsolas.com/manga/154552-manga_accel_world_planeta_08_po194229-9788413417578.html;Manga
Act Age Ivrea 02;3.5;https://www.todoconsolas.com/manga/26863-manga_act_age_ivrea_02_po100664-9788418172021.html;Manga
Act Age Ivrea 03;4.0;https://www.todoconsolas.com/manga/28148-manga_act_age_ivrea_03_po101767-9788418172502.html;Manga
Act Age Ivrea 04;4.5;https://www.todoconsolas.com/manga/28149-manga_act_age_ivrea_04_po101768-9788418271182.html;Manga
Act Age Ivrea 05;4.5;https://www.todoconsolas.com/manga/148329-manga_act_age_ivrea_05_po188161-9788418450020.html;Manga
Adolescente Pero No Inocente Ivrea 01;4.0;https://www.todoconsolas.com/manga/110296-manga_adolescente_pero_no_inocente_ivrea_01_po154094-9788416905485.html;Manga
Agente De Futbol Hidra 01;4.5;https://www.todoconsolas.com/manga/153815-manga_agente_de_futbol_hidra_01_po193340-9788419266071.html;Manga
